排名,电影名称,详情,评分,评价人数,短评
103,甜蜜蜜,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...                            1996 / 中国香港 / 剧情 爱情,8.9,,
104,蝙蝠侠：黑暗骑士崛起,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,8.9,792118,
105,7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...                            2013 / 韩国 / 剧情 喜剧 家庭,8.9,607818,
106,寄生虫,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...                            2019 / 韩国 / 剧情,8.8,,
107,天书奇谭,导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...                            1983(中国大陆) / 2021 / 中国大陆 / 动画 奇幻,9.2,,
108,超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险,8.8,1114850,
109,爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            1995 / 美国 奥地利 瑞士 / 剧情 爱情,8.8,,
110,第六感,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...                            1999 / 美国 / 剧情 悬疑 惊悚,8.9,,
111,被嫌弃的松子的一生,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...                            2006 / 日本 / 剧情 歌舞,8.8,757230,
112,爱在日落黄昏时,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...                            2004 / 美国 法国 / 剧情 爱情,8.9,631621,
113,重庆森林,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...                            1994 / 中国香港 / 剧情 爱情,8.8,,
114,入殓师,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...                            2008 / 日本 / 剧情,8.9,729771,
115,未麻的部屋,导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...                            1997 / 日本 / 剧情 犯罪 动画 悬疑 惊悚,9.1,,
116,剪刀手爱德华,导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...                            1990 / 美国 / 剧情 爱情 奇幻,8.7,,
117,断背山,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,8.8,763050,
118,菊次郎的夏天,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...                            1999 / 日本 / 剧情 喜剧,8.9,,
119,哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell   主演: 丹尼尔·雷德克里夫 Daniel Radclif...                            2005 / 英国 美国 / 悬疑 奇幻 冒险,8.8,,
120,茶馆,导演: 谢添 Tian Xie   主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...                            1982(中国大陆) / 中国大陆 / 剧情 历史,9.6,,
121,借东西的小人阿莉埃蒂,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...                            2010 / 日本 / 动画 奇幻 冒险,8.9,610847,
122,勇敢的心,导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...                            1995 / 美国 / 动作 传记 剧情 历史 战争,8.9,,
123,头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...                            2015 / 美国 / 喜剧 动画 冒险,8.8,768875,
124,时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...                            2013 / 英国 美国 / 喜剧 爱情 奇幻,8.8,763157,
125,无人知晓,导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...                            2004 / 日本 / 剧情,9.1,362170,
126,消失的爱人,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚,8.7,1047069,
127,倩女幽魂,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...                            1987 / 中国香港 / 爱情 奇幻 武侠 古装,8.8,,
128,驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...                            2010 / 美国 / 动画 奇幻 冒险,8.8,835448,
129,完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...                            1993 / 美国 / 剧情 犯罪,9.1,,
130,阳光灿烂的日子,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao                            1994 / 中国大陆 中国香港 / 剧情 爱情,8.8,,
131,花样年华,导演: 王家卫 Kar Wai Wong   主演: 张曼玉 Maggie Cheung / 梁朝伟 Tony Leu...                            2000 / 中国香港 / 剧情 爱情,8.8,,
